metric,min,max,mean,p90
performance,84.0,92.0,88.8,91.6
lcp,1225.2363799999998,1955.6965,1527.7122760000002,1818.7909
fcp,997.413,1121.8215399999997,1060.3155080000001,1115.943924
tbt,29.0,40.0,35.7,39.8
cls,0.00702084100374915,0.007166790256009773,0.007050030854201275,0.007108410555105524
si,1941.418550706675,2379.2098019891237,2109.65284272772,2283.906249817294
performance,73.0,91.0,85.4,90.6
lcp,1278.7365,1905.0665,1492.8747999999998,1791.3781
fcp,998.7365,1060.8455,1031.6398,1054.8944999999999
tbt,39.00000000000023,428.0,128.40000000000003,291.79999999999995
cls,0.006776295949712517,0.01611731211522829,0.008791177593329477,0.012478723670636635
si,1978.5680051651223,2248.4429137321486,2107.80677030635,2233.1257731465703
